raceday,rank,country_code,name,team,time,discipline
Vuelta_al_Pais_Vasco_2017_Stage_6,48,co,Sebastian_Henao,Team_Sky_2017,2:30,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,49,ru,Sergei_Chernetckii,Astana_Pro_Team_2017,2:32,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,50,fr,Romain_Bardet,AG2R_La_Mondiale_2017,2:33,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,51,fr,Benoit_Vaugrenard,FDJ_2017,2:37,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,52,fr,Alexis_Vuillermoz,AG2R_La_Mondiale_2017,2:37,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,53,be,Floris_De_Tier,Team_LottoNL_Jumbo_2017,2:38,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,54,be,Sander_Armee,Lotto_Soudal_2017,2:41,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,55,si,Janez_Brajkovic,Bahrain_Merida_Pro_Cycling_Team_2017,2:41,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,56,gb,Tao_Geoghegan_Hart,Team_Sky_2017,2:41,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,57,es,Lluis_Guillermo_Mas,Caja_Rural_Seguros_RGA_2017,2:42,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,58,es,Omar_Fraile,Dimension_Data_2017,2:42,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,59,es,Jaime_Roson,Caja_Rural_Seguros_RGA_2017,2:48,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,60,au,Chris_Hamilton,Team_Sunweb_2017,2:50,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,61,pt,Tiago_Machado,Team_Katusha_Alpecin_2017,2:52,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,62,au,Jack_Haig,ORICA_Scott_2017,2:57,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,63,cz,Roman_Kreuziger_1,ORICA_Scott_2017,3:02,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,64,es,Angel_Vicioso,Team_Katusha_Alpecin_2017,3:03,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,65,au,Jay_Mccarthy,Bora_Hansgrohe_2017,3:03,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,66,ie,nicolas_Roche,BMC_Racing_Team_2017,3:05,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,67,es,Ruben_Plaza,ORICA_Scott_2017,3:08,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,68,it,Cesare_Benedetti,Bora_Hansgrohe_2017,3:08,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,69,it,Manuele_Mori,UAE_Team_Emirates_2017,3:09,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,70,fr,Hubert_Dupont,AG2R_La_Mondiale_2017,3:10,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,71,fr,Anthony_Perez,Cofidis,_Solutions_Credits_2017,3:20,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,72,nl,Maurits_Lammertink,Team_Katusha_Alpecin_2017,3:21,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,73,us,nathan_Brown,Cannondale_Drapac_Pro_Cycling_Team_2017,3:29,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,74,ru,Maxim_Belkov,Team_Katusha_Alpecin_2017,3:30,['Time-Trialist', 'GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,75,de,Silvio_Herklotz,Bora_Hansgrohe_2017,3:31,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,76,ch,Danilo_Wyss,BMC_Racing_Team_2017,3:31,['Time-Trialist']
Vuelta_al_Pais_Vasco_2017_Stage_6,77,it,Gianluca_Brambilla,Quick_Step_Floors_2017,3:34,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,78,pl,Michal_Kwiatkowski,Team_Sky_2017,3:38,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,79,es,Markel_Irizar,Trek_Segafredo_2017,3:39,['Time-Trialist', 'GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,80,be,Serge_Pauwels,Dimension_Data_2017,3:39,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,81,at,Gregor_Muhlberger,Bora_Hansgrohe_2017,3:43,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,82,pt,Andre_Cardoso,Trek_Segafredo_2017,3:43,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,83,gb,Ben_Swift,UAE_Team_Emirates_2017,3:44,['Sprinter']
Vuelta_al_Pais_Vasco_2017_Stage_6,84,fr,Julien_Bernard,Trek_Segafredo_2017,3:45,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,85,be,Tosh_Van_Der_Sande,Lotto_Soudal_2017,3:47,['One-day-races', 'Sprinter']
Vuelta_al_Pais_Vasco_2017_Stage_6,86,be,Dries_Devenyns,Quick_Step_Floors_2017,3:47,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,87,it,Alessandro_De_Marchi,BMC_Racing_Team_2017,3:48,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,88,fr,Mikael_Cherel,AG2R_La_Mondiale_2017,3:48,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,89,er,Merhawi_Kudus,Dimension_Data_2017,3:53,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,90,dk,Jakob_Fuglsang,Astana_Pro_Team_2017,3:55,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,91,si,Grega_Bole,Bahrain_Merida_Pro_Cycling_Team_2017,3:57,['One-day-races', 'Sprinter']
Vuelta_al_Pais_Vasco_2017_Stage_6,92,it,Damiano_Caruso,BMC_Racing_Team_2017,3:59,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,93,fr,Cedric_Pineau,FDJ_2017,3:59,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,94,fr,Mathias_Le_Turnier,Cofidis,_Solutions_Credits_2017,4:00,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,95,es,Sergio_Pardilla,Caja_Rural_Seguros_RGA_2017,4:01,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,96,es,Igor_Anton,Dimension_Data_2017,4:01,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,97,hr,Kristijan_Durasek,UAE_Team_Emirates_2017,4:02,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,98,us,Alex_Howes,Cannondale_Drapac_Pro_Cycling_Team_2017,4:02,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,99,lu,Laurent_Didier,Trek_Segafredo_2017,4:09,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,100,no,Odd_Christian_Eiking,FDJ_2017,4:10,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,101,es,Luis_Angel_Mate,Cofidis,_Solutions_Credits_2017,4:13,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,102,es,Carlos_Verona,ORICA_Scott_2017,4:14,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,103,ch,Michael_Albasini,ORICA_Scott_2017,4:15,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,104,es,Jonathan_Lastra,Caja_Rural_Seguros_RGA_2017,4:18,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,105,jp,Yukiya_Arashiro,Bahrain_Merida_Pro_Cycling_Team_2017,4:19,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,106,es,Alex_Aranburu,Caja_Rural_Seguros_RGA_2017,4:20,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,107,fr,Arnaud_Courteille,FDJ_2017,4:22,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,108,es,Jon_Irisarri,Caja_Rural_Seguros_RGA_2017,4:33,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,109,kz,Bakhtiyar_Kozhatayev,Astana_Pro_Team_2017,4:37,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,110,nl,Tom_Jelte_Slagter,Cannondale_Drapac_Pro_Cycling_Team_2017,4:37,['One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,111,fr,Clement_Chevrier,AG2R_La_Mondiale_2017,4:38,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,112,ru,Matvey_Mamykin,Team_Katusha_Alpecin_2017,4:47,['Inexperienced']
Vuelta_al_Pais_Vasco_2017_Stage_6,113,fr,Amael_Moinard,BMC_Racing_Team_2017,4:48,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,114,fr,Julien_Berard,AG2R_La_Mondiale_2017,4:48,['GC', 'One-day-races']
Vuelta_al_Pais_Vasco_2017_Stage_6,115,es,Jesus_Hernandez_3,Trek_Segafredo_2017,4:55,['GC']
Vuelta_al_Pais_Vasco_2017_Stage_6,116,es,Daniel_Moreno,Movistar_Team_2017,5:00,['GC', 'One-day-races']
